x,y
9.54,9.43
11.84,6.68
4.42,9.39
12.6,11.22
7.02,10.61
12.77,10.38
5.3,3.14
12.53,6.28
3.63,10.44
4.24,3.38
8.48,11.92
11.65,12.32
9.87,12.98
9.89,13.4
9.85,10.24
7.96,2.72
5.25,2.14
9.49,3.63
12.28,5.74
4.23,4.14
7.25,2.1
9.81,3.85
3.6,4.62
6.31,1.7
4.22,5.04
4.73,3.42
12.38,9.26
6.24,2.02
12.54,5.46
10.13,8.93
11.97,12.32
11.84,13.58
12.1,6.31
12.8,8.99
9.0,13.37
9.65,9.62
11.9,6.11
7.38,9.78
7.16,9.02
7.27,10.07
4.42,8.72
12.18,7.06
4.66,4.64
9.84,6.44
9.86,6.66
4.32,8.61
5.56,2.46
11.79,11.31
12.01,10.14
4.2,9.09
12.58,10.63
9.54,6.78
4.26,8.99
3.69,9.36
3.76,5.29
6.94,7.18
7.86,9.42
4.18,6.52
7.16,2.37
4.34,6.32
8.38,13.34
12.5,11.87
9.02,13.26
10.2,8.56
4.54,4.47
10.34,13.22
3.89,2.78
3.72,8.52
10.8,13.88
12.72,9.23
11.7,12.72
10.28,6.65
3.49,8.34
5.06,2.86
12.36,9.32
5.44,1.06
9.16,2.8
7.58,1.3
9.54,8.51
6.6,1.2
3.84,4.72
11.38,13.54
9.74,6.34
6.37,1.48
11.94,11.69
11.03,13.91
7.34,7.62
9.48,2.63
9.59,10.33
7.82,12.6
6.31,1.24
11.2,13.16
12.56,6.84
9.63,9.52
9.33,3.36
4.57,3.08
8.46,1.38
6.52,1.4
8.05,13.32
9.51,13.82
8.62,1.85
9.82,10.17
12.73,8.03
3.83,10.4
9.38,4.08
5.42,0.64
12.38,11.42
5.31,1.15
12.68,6.71
10.08,8.52
12.4,6.6
4.39,7.1
4.38,6.54
12.44,11.38
3.46,8.43
10.77,13.95
12.61,8.6
9.24,6.92
11.99,6.34
5.09,2.75
12.5,10.48
4.47,1.71
9.48,7.23
7.67,1.76
12.02,5.94
9.56,5.24
6.9,6.17
11.31,13.22
9.43,7.01
11.68,13.4
12.37,12.22
9.65,10.52
7.54,6.56
8.74,2.9
10.43,10.38
9.46,8.86
10.06,13.87
8.36,3.03
8.95,2.28
3.68,7.64
9.09,2.8
12.16,9.16
4.28,6.42
12.19,5.82
12.67,8.2
7.19,10.48
4.38,8.28
12.5,11.5
10.32,9.47
7.48,9.96
12.3,6.88
8.86,13.82
9.54,6.16
6.62,7.42
12.54,10.4
12.14,11.98
12.59,11.32
4.32,4.58
7.96,11.54
9.48,9.36
4.12,6.04
9.46,4.9
12.37,9.66
6.91,2.04
8.91,2.34
6.96,7.32
9.44,14.22
3.88,9.06
9.16,13.68
12.2,11.32
10.24,8.3
9.48,5.26
7.22,7.69
1.28,13.28
11.98,8.96
4.39,2.31
8.41,1.42
12.3,5.11
9.35,3.3
7.42,11.2
9.56,6.09
7.0,7.86
7.94,10.06
5.44,1.48
9.47,5.0
6.58,0.94
8.48,11.48
12.0,7.21
10.33,13.38
9.54,13.49
9.48,4.74
12.0,12.36
4.59,2.48
8.8,2.15
8.9,2.42
7.74,9.5
12.9,8.86
7.16,6.04
11.88,7.62
10.36,14.02
12.26,10.5
12.12,6.81
12.76,7.28
8.23,2.42
4.04,7.9
10.18,7.54
4.24,3.9
8.38,2.04
4.46,5.42
7.09,8.98
4.04,6.42
12.39,5.77
9.19,1.88
8.98,3.0
11.56,13.75
4.26,7.68
10.68,13.24
6.68,7.14
9.23,4.69
5.24,2.13
12.81,10.71
6.94,8.35
4.28,6.86
7.44,6.8
9.25,13.62
8.64,12.05
8.62,2.42
9.96,8.67
11.94,5.98
6.04,2.18
7.48,1.84
7.7,1.1
7.18,6.52
8.96,2.33
7.22,1.1
11.9,12.14
9.93,9.82
7.72,12.66
7.54,1.94
12.28,11.18
7.63,5.68
8.58,13.18
4.27,6.94
12.2,10.3
12.45,9.88
9.43,3.75
3.46,9.29
6.16,1.93
11.94,12.02
4.16,7.68
3.71,7.66
8.22,11.88
10.68,13.13
11.96,5.96
12.38,11.33
12.76,11.21
9.3,3.62
10.2,6.41
6.98,1.43
3.68,4.16
4.93,3.98
4.18,8.25
10.24,6.98
6.74,7.22
7.26,9.14
7.06,2.28
11.7,11.76
11.8,6.8
8.92,1.26
4.36,1.66
12.71,7.14
7.3,5.62
12.05,5.08
7.0,1.06
4.36,9.72
12.65,5.24
11.68,13.49
11.76,6.84
12.36,10.29
3.99,7.54
11.66,12.62
11.18,12.79
7.98,10.2
3.44,8.9
4.42,9.64
7.63,2.3
7.32,9.72
5.02,2.09
3.7,4.19
7.54,6.46
9.47,3.75
3.4,8.64
12.69,9.09
5.68,2.01
5.68,1.1
4.24,8.28
8.52,2.9
4.27,5.96
10.03,9.56
9.1,2.82
4.04,6.52
3.55,9.72
8.02,12.15
7.81,9.35
8.72,12.56
4.16,10.64
7.79,1.77
8.49,1.96
3.84,4.12
5.78,2.4
7.58,6.52
4.07,5.14
9.17,3.08
11.45,13.8
12.6,5.9
6.38,0.72
4.93,3.34
9.94,8.96
9.34,4.42
6.72,6.05
10.29,5.65
3.9,7.6
9.87,14.33
8.35,2.56
3.51,5.47
6.89,1.66
8.44,13.28
7.78,2.02
9.26,13.16
12.79,9.0
5.76,1.02
11.78,12.35
9.9,5.82
12.38,10.08
7.63,6.13
10.08,8.93
5.81,1.42
12.38,8.76
10.1,7.0
11.52,12.58
10.24,14.48
8.78,12.64
10.27,4.97
4.43,7.86
3.84,8.62
9.61,8.29
8.86,2.8
8.15,11.5
4.47,2.86
12.25,6.07
12.01,6.74
9.84,5.92
8.14,13.06
9.53,6.14
3.78,5.74
10.14,9.9
4.28,7.16
8.23,12.62
12.24,5.76
10.02,9.12
8.77,2.6
8.63,2.28
9.65,3.26
8.12,2.66
6.48,1.1
12.6,5.54
6.75,2.1
9.53,5.78
12.0,5.72
4.22,6.08
9.66,7.29
7.72,1.32
7.64,11.44
9.2,2.1
5.06,2.8
8.27,11.24
6.5,1.64
8.9,3.46
10.12,5.22
12.68,7.96
6.83,0.81
9.18,14.32
12.25,10.1
7.5,10.08
6.84,6.79
8.2,2.86
7.58,10.1
6.26,0.97
10.4,12.94
10.07,9.02
11.91,12.44
9.74,13.8
7.4,10.45
11.97,7.24
12.82,11.37
4.32,4.92
3.6,5.66
9.41,5.46
9.7,3.88
9.96,6.61
3.95,5.51
9.3,3.78
12.15,5.0
9.99,5.77
10.07,5.64
8.23,11.75
7.07,2.08
4.36,2.86
5.61,1.41
11.92,5.52
4.23,8.68
12.14,10.92
9.72,7.6
8.82,12.75
12.56,6.18
3.46,6.65
7.93,11.78
9.76,5.06
12.7,8.24
10.06,5.63
10.94,13.84
6.86,6.28
11.74,12.6
12.34,7.44
9.99,5.61
6.92,6.64
8.09,11.46
12.24,10.55
4.47,6.6
7.38,10.92
11.38,13.99
11.23,12.95
8.24,1.62
11.77,13.1
4.0,7.86
9.43,9.86
11.46,11.88
4.13,6.82
4.43,9.91
7.32,1.08
7.14,1.2
