x,y
6.37,11.07
12.04,7.9
13.59,1.39
11.04,6.77
8.57,8.72
4.92,2.9
10.92,4.78
10.77,4.48
12.12,3.7
5.52,2.44
5.64,2.9
5.87,10.69
7.8,11.46
8.28,9.1
6.16,12.24
8.15,9.98
7.04,9.3
3.3,7.85
7.8,12.41
3.3,3.53
3.99,6.29
6.22,13.98
3.0,4.73
12.47,5.34
12.2,5.12
6.32,10.44
8.93,11.22
12.52,6.76
13.9,5.56
2.28,4.2
9.6,10.48
5.66,12.85
6.2,2.41
3.38,6.12
13.2,5.14
1.8,4.86
3.02,1.7
6.32,10.74
11.74,4.57
4.26,6.4
8.71,9.26
4.56,6.01
10.28,5.95
3.66,2.74
6.32,3.5
5.36,11.48
7.52,13.8
6.52,13.6
3.46,6.64
8.28,9.92
10.87,6.66
2.65,5.04
3.16,6.25
4.55,6.6
11.68,6.94
7.94,12.68
6.32,12.78
12.6,5.49
9.12,9.14
11.41,4.69
3.8,4.98
11.46,7.47
5.94,11.49
4.36,7.38
12.58,7.22
6.33,10.22
12.32,5.47
6.22,13.63
8.15,11.55
10.62,6.56
10.81,5.73
13.47,4.22
13.32,4.57
3.4,4.56
11.3,6.68
4.52,4.7
13.34,5.41
8.99,8.98
5.43,11.89
5.09,4.28
8.82,10.45
2.8,5.62
9.41,10.56
11.14,6.6
6.11,12.74
3.72,2.47
7.14,11.73
10.42,4.6
6.37,4.39
5.42,5.22
3.16,4.66
10.66,5.17
7.66,9.68
4.44,3.82
10.68,5.38
11.62,5.84
8.1,10.28
12.06,4.91
3.42,5.68
8.35,10.52
4.62,2.08
13.06,5.34
13.31,5.9
6.34,3.06
4.42,6.15
4.48,4.6
11.3,6.92
6.78,13.3
10.84,4.88
5.63,13.01
8.53,11.94
10.9,5.05
4.61,2.16
6.06,13.96
10.68,5.88
4.4,4.18
8.68,12.74
4.11,4.47
3.28,1.64
2.76,5.81
6.56,12.52
8.43,10.06
6.8,9.88
8.55,11.12
8.32,12.33
8.78,10.22
4.58,6.64
6.14,9.8
6.64,13.6
2.56,3.66
6.96,11.55
8.82,11.1
2.68,5.76
11.26,7.22
6.76,11.93
2.81,6.78
8.76,9.22
9.57,11.48
8.91,11.36
6.31,14.09
6.95,11.32
12.39,5.45
13.18,6.94
9.65,11.38
3.29,2.82
4.14,3.5
3.02,5.18
4.21,3.88
6.52,12.66
5.14,12.82
11.0,6.52
11.52,5.4
1.62,4.6
8.26,12.15
3.79,6.91
7.3,11.5
9.89,11.73
8.44,12.78
8.24,13.06
11.98,4.24
9.86,11.4
2.24,5.44
11.48,4.35
10.85,6.96
6.3,10.3
8.52,13.15
4.8,6.35
9.81,5.22
10.59,4.41
11.7,10.07
6.26,11.21
5.98,3.42
5.26,7.28
3.91,6.37
8.65,10.41
3.67,5.72
6.76,9.17
4.84,3.24
12.4,5.76
11.1,6.54
10.35,6.37
11.94,6.9
8.2,12.2
7.46,9.7
6.84,12.49
10.4,5.78
3.98,3.5
3.72,7.17
5.7,11.97
10.01,10.62
9.85,11.21
11.32,7.72
5.68,2.94
8.62,9.4
3.2,5.65
4.54,2.2
7.68,12.08
12.38,5.38
2.43,4.35
6.02,11.24
8.77,12.62
4.92,4.75
2.12,4.2
4.89,3.83
4.76,4.2
13.0,3.84
11.68,6.92
3.66,5.56
13.96,5.35
6.2,13.32
4.84,2.48
8.1,12.25
7.66,9.34
12.64,5.06
11.63,5.57
8.1,9.6
6.84,11.36
2.92,4.76
10.17,4.57
7.2,11.8
8.2,10.02
7.66,9.57
2.79,4.82
7.2,12.83
6.39,14.32
5.2,2.87
10.88,5.32
12.86,5.5
6.71,9.57
5.09,3.4
5.96,6.45
3.88,4.82
2.18,4.14
8.41,10.92
8.0,11.14
11.44,5.6
5.96,10.82
7.04,13.18
11.56,7.59
10.88,4.49
4.39,3.38
9.45,10.54
12.34,7.08
8.4,10.36
8.21,12.14
7.82,12.75
3.96,6.18
7.9,9.24
7.16,12.29
7.92,11.67
5.38,3.22
6.42,13.06
13.06,4.34
4.86,5.22
7.72,13.5
8.71,12.24
5.38,2.8
6.5,11.36
4.44,5.26
8.74,9.25
13.2,6.8
2.33,2.58
10.46,6.29
6.1,10.52
5.43,12.06
6.04,4.64
3.08,5.54
2.26,5.46
10.89,4.8
4.04,4.18
2.22,2.94
11.65,6.25
10.98,6.86
4.06,7.03
8.84,10.42
6.56,10.8
11.31,4.92
10.11,5.62
12.03,4.7
8.8,9.46
7.64,10.19
7.07,9.2
1.48,5.78
12.94,4.06
7.92,10.29
11.02,6.44
4.78,5.29
7.39,10.34
11.15,7.5
5.52,11.11
9.79,10.86
11.07,5.3
4.22,5.69
8.88,11.88
5.76,5.92
4.99,2.38
5.96,3.77
4.15,5.12
12.69,4.28
10.7,6.58
11.35,5.8
3.62,5.97
6.31,10.86
7.75,9.1
4.84,3.5
13.08,4.3
9.12,9.52
4.28,5.41
2.59,5.41
11.98,6.22
4.12,1.25
9.11,9.36
6.13,11.32
10.08,11.44
12.32,4.03
8.7,12.35
6.84,12.27
3.91,5.32
4.06,6.55
8.4,11.74
4.56,2.16
8.52,11.04
8.7,10.27
10.48,6.38
7.91,9.18
8.04,9.2
11.66,5.12
9.36,9.35
5.73,5.69
5.46,12.47
11.6,4.16
6.95,11.42
5.46,3.38
4.1,4.5
6.64,13.0
8.59,11.77
10.06,10.48
10.3,6.15
2.93,5.94
4.19,4.32
9.9,11.62
5.92,12.19
8.06,11.17
3.35,7.97
8.57,8.84
5.72,10.64
7.28,10.28
5.99,12.22
9.16,12.08
7.0,10.42
3.33,6.04
8.52,9.02
8.15,9.85
5.19,6.1
2.96,6.58
7.14,11.86
2.52,5.58
4.8,2.48
5.1,5.92
4.24,1.82
2.6,3.14
7.07,10.05
7.0,13.59
10.27,5.48
7.48,9.15
8.46,10.76
13.95,5.76
4.14,4.76
10.88,5.78
6.46,12.94
6.58,9.86
7.3,13.06
8.06,9.02
13.9,5.05
5.56,10.16
8.42,11.2
9.41,10.56
10.7,7.32
8.56,11.27
8.48,9.92
8.02,12.72
4.35,6.71
6.78,13.28
4.33,6.58
4.48,3.2
2.9,5.71
6.1,9.72
6.5,2.64
7.84,11.53
5.61,10.2
8.18,11.89
7.96,12.04
8.06,9.84
7.97,10.35
8.38,13.1
6.24,11.04
5.9,11.84
7.56,13.26
6.35,12.39
5.55,3.42
3.62,7.24
11.04,5.86
5.0,3.12
5.54,3.84
8.48,13.24
11.53,6.55
3.88,4.91
6.7,3.1
7.74,9.8
12.52,5.34
9.12,11.52
7.73,11.44
9.24,12.9
2.96,3.82
12.41,6.84
4.92,3.46
6.36,12.11
10.42,5.67
4.67,4.69
8.81,11.14
6.13,10.48
8.31,10.52
6.07,3.68
11.92,8.33
12.95,5.08
6.5,11.76
2.38,7.84
11.03,5.58
11.88,5.72
12.34,5.52
4.28,4.02
12.56,6.41
3.14,5.54
7.65,11.97
6.61,4.73
14.4,10.14
9.26,9.25
11.54,6.4
8.17,12.67
1.86,6.1
7.95,10.78
3.7,2.88
3.59,6.5
7.6,13.44
7.36,11.48
13.14,4.09
7.02,12.52
11.91,4.01
4.16,4.36
8.52,8.87
6.6,9.1
4.58,1.96
10.5,5.36
6.55,13.77
8.88,12.26
8.82,9.76
10.77,5.86
3.94,3.76
6.73,11.46
9.68,6.22
5.98,11.84
8.52,11.71
11.12,7.29
6.67,12.28
10.03,6.3
6.34,11.77
6.22,11.62
9.22,9.14
7.28,12.27
12.0,8.22
8.24,12.46
4.4,4.16
5.72,3.96
4.32,2.33
12.15,5.25
4.33,5.58
9.02,10.62
7.18,9.6
2.28,5.66
4.66,3.48
7.53,9.44
8.14,11.12
9.56,10.23
12.4,3.94
7.81,8.87
6.88,13.36
6.44,10.48
7.7,10.98
3.56,5.26
11.56,7.07
2.34,2.87
3.06,6.04
7.54,14.08
4.39,1.84
7.07,13.4
10.84,7.4
8.32,12.0
4.93,3.72
11.61,6.32
6.72,13.2
5.95,13.17
12.3,5.24
4.08,6.4
3.52,4.96
1.99,5.82
5.38,12.48
3.96,6.53
4.75,2.75
3.44,6.01
7.26,11.06
8.6,9.86
3.69,3.14
8.14,12.42
3.22,2.62
5.3,5.62
12.96,4.65
4.14,6.74
8.01,12.58
8.49,11.18
1.92,12.18
4.45,2.63
7.14,9.84
11.61,5.4
2.8,5.06
11.84,3.8
10.86,3.62
5.61,3.78
10.22,6.16
4.14,3.42
12.56,7.27
3.88,4.2
3.5,6.69
3.8,4.62
3.98,3.44
7.86,13.38
3.72,5.37
11.0,6.0
12.89,4.3
11.32,4.97
1.98,7.46
6.72,12.8
11.24,4.96
7.08,11.67
4.46,4.05
4.92,3.66
4.6,2.06
4.69,5.75
11.19,6.54
8.63,9.75
