x,y
11.45,11.35
10.04,3.9
13.86,9.64
6.16,11.13
4.83,11.5
5.32,8.28
9.5,5.24
3.66,11.91
5.3,10.06
5.18,9.22
7.08,8.88
6.22,11.2
5.39,9.59
6.76,9.02
8.76,4.58
8.98,4.7
10.61,5.14
4.49,10.53
11.22,11.12
6.24,8.9
9.31,5.52
5.4,12.5
5.52,8.43
7.5,12.4
8.78,5.0
11.14,5.6
13.18,9.95
5.4,11.34
5.34,8.62
9.18,5.93
12.56,8.14
11.11,10.62
13.16,10.97
9.79,5.14
5.77,8.49
8.1,9.78
4.18,10.08
5.18,11.71
3.94,11.78
4.88,9.98
10.74,5.6
7.86,7.86
11.97,10.09
10.34,3.96
6.95,9.94
12.07,7.98
12.16,9.14
3.88,11.58
5.48,10.31
11.54,9.4
12.75,7.73
4.24,10.88
10.44,6.4
5.79,12.53
10.6,8.62
14.06,8.04
11.52,4.3
4.68,10.33
8.46,4.62
4.51,11.83
4.42,10.96
8.76,6.34
10.64,4.78
9.93,5.4
12.94,10.24
8.22,9.36
13.36,8.72
6.31,12.42
9.62,4.7
4.74,11.9
3.82,10.05
10.61,8.82
4.84,10.52
4.35,10.86
3.03,11.04
10.56,6.36
12.14,9.17
11.83,11.43
12.93,10.12
7.04,8.86
8.71,6.7
9.28,6.68
6.27,10.03
13.98,9.71
3.05,12.26
11.52,10.34
6.18,12.5
4.91,12.5
8.86,7.22
14.16,11.06
6.22,7.87
9.15,6.84
5.86,10.44
4.78,10.26
12.63,11.3
11.52,10.51
5.73,10.44
11.2,10.18
5.91,9.46
10.84,9.34
11.9,11.91
13.28,8.88
4.81,8.94
9.93,6.06
7.48,7.96
2.86,12.67
11.0,11.36
4.48,11.92
12.08,11.56
13.51,10.62
6.26,11.22
2.85,12.48
9.14,6.48
13.62,10.18
3.48,12.24
11.46,5.76
12.48,10.07
11.78,10.3
13.44,10.25
8.43,2.96
11.22,10.16
3.58,11.38
5.52,8.98
7.17,10.53
12.08,11.46
13.19,8.14
3.98,9.65
6.24,9.67
4.38,9.76
12.3,9.07
11.0,5.16
12.4,11.64
4.37,10.44
