x,y
7.47,6.85
9.26,8.44
8.03,1.9
4.8,11.1
7.96,6.76
4.59,10.74
8.9,9.3
5.43,2.44
8.53,8.64
10.34,4.14
3.65,6.84
5.91,7.51
8.7,8.23
10.06,2.66
10.88,11.48
6.88,0.47
13.98,12.08
7.04,4.64
3.26,5.54
7.0,5.84
6.63,6.2
9.05,9.49
11.64,10.26
9.86,12.58
6.0,0.95
6.28,6.86
3.73,5.68
8.04,4.82
5.25,10.86
5.01,1.64
6.28,0.59
9.55,12.99
7.56,5.7
6.55,7.4
4.21,3.44
8.36,9.01
3.62,7.54
8.16,8.92
10.88,3.96
8.72,5.73
5.24,11.48
4.0,3.45
7.9,0.7
9.35,2.16
3.47,8.05
10.78,4.86
9.2,2.98
11.02,9.56
3.3,3.82
8.68,12.41
5.94,1.8
9.7,12.44
4.24,11.58
3.62,8.52
8.54,7.74
10.32,12.5
3.26,4.56
10.44,12.01
10.54,4.64
4.8,12.49
7.04,1.03
8.72,1.86
10.97,11.78
5.49,1.2
6.45,8.07
7.78,12.56
4.72,10.48
7.73,9.62
6.96,6.2
5.1,11.78
11.62,6.53
6.12,1.46
5.57,6.8
10.08,11.89
6.63,5.11
6.9,1.88
10.51,12.26
1.46,6.42
5.54,1.46
9.06,12.3
3.89,3.08
6.91,1.98
7.56,13.3
6.74,8.57
8.06,0.98
10.61,13.16
8.24,6.6
5.52,12.04
10.18,12.78
11.04,10.28
9.0,8.54
11.48,8.93
10.92,11.72
6.55,12.51
4.26,3.23
7.7,0.3
8.07,9.4
10.76,6.94
6.82,0.79
5.43,2.12
4.8,2.48
9.41,12.76
5.79,11.56
5.92,12.22
11.6,7.58
4.78,10.62
8.72,12.35
8.5,6.86
9.57,12.84
10.86,6.28
7.04,1.64
4.01,7.49
3.69,3.73
6.26,1.84
5.98,1.0
10.12,3.64
7.04,0.8
10.05,12.21
7.27,8.28
7.46,8.87
3.82,8.15
7.94,1.24
6.4,0.66
7.58,1.58
4.13,4.32
10.94,4.07
5.61,12.17
1.26,12.34
8.6,7.54
10.9,10.38
6.75,8.1
6.53,6.6
8.2,5.24
4.42,1.78
5.07,11.98
10.82,11.84
5.46,1.3
7.82,1.01
11.32,6.78
6.18,5.82
11.49,5.74
8.52,1.8
6.4,1.85
11.06,4.75
4.14,10.9
7.74,8.55
6.54,1.74
7.18,13.19
11.94,7.45
6.56,1.08
9.34,8.62
4.49,2.74
8.98,7.52
6.4,1.91
9.3,2.5
9.64,12.22
5.94,12.5
8.72,6.06
3.94,4.6
6.02,7.84
2.82,6.53
8.75,12.68
10.98,10.52
5.22,2.34
6.73,0.8
3.57,5.6
8.41,7.0
2.88,5.72
6.2,12.06
11.49,11.52
11.34,5.92
6.18,0.76
8.84,2.18
3.61,5.64
3.5,6.08
3.86,4.95
5.97,7.41
5.98,8.35
6.32,1.48
11.1,7.8
6.66,8.83
8.41,6.68
6.98,1.6
6.94,8.66
6.0,1.84
7.9,8.47
11.24,10.53
